结果id,生成时间,任务数据,题目顺序,题目信息,答案,质检状态,质检结果
4776281328,4/2/18 16:03,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000001839/TB29j5IibuWBuNjSszgXXb8jVXa_!!6000000001839-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281396,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000006366/TB2lViviXmWBuNjSspdXXbugXXa_!!6000000006366-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281419,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000007348/TB2cBngib1YBuNjSszhXXcUsFXa_!!6000000007348-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281427,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000006945/TB2qIeBigaTBuNjSszfXXXgfpXa_!!6000000006945-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281452,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000000985/TB2nK1.ieOSBuNjy0FdXXbDnVXa_!!6000000000985-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281525,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000004120/TB22GimccyYBuNkSnfoXXcWgVXa_!!6000000004120-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281553,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000004809/TB2jcu2ieSSBuNjy0FlXXbBpVXa_!!6000000004809-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281559,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000007476/TB2yXbbieySBuNjy1zdXXXPxFXa_!!6000000007476-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281586,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000004723/TB2HpHoibSYBuNjSspfXXcZCpXa_!!6000000004723-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281592,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000005999/TB2ON1jccuYBuNkSmRyXXcA3pXa_!!6000000005999-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281598,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000007212/TB2AueBigaTBuNjSszfXXXgfpXa_!!6000000007212-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281609,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000005511/TB2AiiEciQnBKNjSZFmXXcApVXa_!!6000000005511-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281630,4/2/18 16:04,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000003836/TB2IRaMif9TBuNjy0FcXXbeiFXa_!!6000000003836-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281651,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000000550/TB2x3fKioR1BeNjy0FmXXb0wVXa_!!6000000000550-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281657,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000007270/TB21gaKiXuWBuNjSszbXXcS7FXa_!!6000000007270-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281662,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000005523/TB2Uqbhib1YBuNjSszhXXcUsFXa_!!6000000005523-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281665,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000003252/TB2Zb2bieySBuNjy1zdXXXPxFXa_!!6000000003252-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281676,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000005471/TB2_GqJibuWBuNjSszgXXb8jVXa_!!6000000005471-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281709,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000003628/TB2MqCncgKTBuNkSne1XXaJoXXa_!!6000000003628-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281710,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000004541/TB2UdKsciMnBKNjSZFCXXX0KFXa_!!6000000004541-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281718,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000006499/TB2vAmociMnBKNjSZFoXXbOSFXa_!!6000000006499-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281719,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000005204/TB2mekqimBYBeNjy0FeXXbnmFXa_!!6000000005204-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281732,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000003475/TB2C9IsimtYBeNjSspkXXbU8VXa_!!6000000003475-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281757,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000003515/TB2xel3coOWBKNjSZKzXXXfWFXa_!!6000000003515-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281793,4/2/18 16:05,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000001044/TB2ILyiciAnBKNjSZFvXXaTKXXa_!!6000000001044-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281879,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000007822/TB2RZjmihWYBuNjy1zkXXXGGpXa_!!6000000007822-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281894,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000005246/TB2BFvtiamWBuNjy1XaXXXCbXXa_!!6000000005246-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281914,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000001121/TB27o6siamWBuNjy1XaXXXCbXXa_!!6000000001121-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281915,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000005230/TB2aJ1PiXGWBuNjy0FbXXb4sXXa_!!6000000005230-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281917,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000002034/TB2N0bmihWYBuNjy1zkXXXGGpXa_!!6000000002034-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281931,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000006940/TB2gSmBcljTBKNjSZFwXXcG4XXa_!!6000000006940-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281932,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000001061/TB28o9.ieOSBuNjy0FdXXbDnVXa_!!6000000001061-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281980,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000005833/TB2oG.timtYBeNjSspkXXbU8VXa_!!6000000005833-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281993,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000001190/TB2osCkcljTBKNjSZFDXXbVgVXa_!!6000000001190-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281998,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000002766/TB2D05Nif9TBuNjy0FcXXbeiFXa_!!6000000002766-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776281999,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000006441/TB2LHBvcijQBKNjSZFnXXa_DpXa_!!6000000006441-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282002,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000005316/TB2Lm8JcbwrBKNjSZPcXXXpapXa_!!6000000005316-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282004,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000004681/TB2rs_zih9YBuNjy0FfXXXIsVXa_!!6000000004681-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282028,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/2258414592/TB2PPboibSYBuNjSspfXXcZCpXa_!!2258414592-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282030,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000003796/TB21z1sibSYBuNjSspiXXXNzpXa_!!6000000003796-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282047,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000006754/TB2T6uuikKWBuNjy1zjXXcOypXa_!!6000000006754-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282051,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000006249/TB2ZzOsibSYBuNjSspiXXXNzpXa_!!6000000006249-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282064,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000001842/TB2_cotimtYBeNjSspkXXbU8VXa_!!6000000001842-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282066,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000001410/TB2KXbLioR1BeNjy0FmXXb0wVXa_!!6000000001410-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282071,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000000618/TB2I3GSikOWBuNjSsppXXXPgpXa_!!6000000000618-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282106,4/2/18 16:06,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000000253/TB2p_GvcamWBuNkHFJHXXaatVXa_!!6000000000253-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282116,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000000246/TB200ItimtYBeNjSspkXXbU8VXa_!!6000000000246-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282147,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000005590/TB2D.HXih1YBuNjy1zcXXbNcXXa_!!6000000005590-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282151,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000005625/TB2jCCYif5TBuNjSspcXXbnGFXa_!!6000000005625-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282154,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000001950/TB2r8eJibuWBuNjSszgXXb8jVXa_!!6000000001950-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282180,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000005432/TB2gZ90iXuWBuNjSspnXXX1NVXa_!!6000000005432-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282190,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000006319/TB2LnYoibSYBuNjSspfXXcZCpXa_!!6000000006319-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282191,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000005074/TB2A23timtYBeNjSspkXXbU8VXa_!!6000000005074-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282196,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000006805/TB2qKiUiaSWBuNjSsrbXXa0mVXa_!!6000000006805-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282199,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000004638/TB2jeCOimCWBuNjy0FhXXb6EVXa_!!6000000004638-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282200,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000008030/TB2h7KQik9WBuNjSspeXXaz5VXa_!!6000000008030-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282230,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000000326/TB2WjNiiDtYBeNjy1XdXXXXyVXa_!!6000000000326-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282249,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000004489/TB2ALm2if9TBuNjy1zbXXXpepXa_!!6000000004489-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282272,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000005493/TB2lJkrimtYBeNjSspaXXaOOFXa_!!6000000005493-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282278,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i4/6000000000561/TB2V09yclmWBuNkSndVXXcsApXa_!!6000000000561-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282280,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000005137/TB287Ydib5YBuNjSspoXXbeNFXa_!!6000000005137-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282294,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000000360/TB2kYKGibGYBuNjy0FoXXciBFXa_!!6000000000360-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282297,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000005487/TB2NRKPiXGWBuNjy0FbXXb4sXXa_!!6000000005487-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282299,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000003137/TB24hmUiaSWBuNjSsrbXXa0mVXa_!!6000000003137-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282300,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000007367/TB21h2tiamWBuNjy1XaXXXCbXXa_!!6000000007367-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282310,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000005468/TB2UtLuikCWBuNjy0FaXXXUlXXa_!!6000000005468-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282311,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000002227/TB2vLl.ccj_B1NjSZFHXXaDWpXa_!!6000000002227-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282312,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000001280/TB2D3S2if9TBuNjy1zbXXXpepXa_!!6000000001280-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282314,4/2/18 16:07,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000003792/TB2h85rcborBKNjSZFjXXc_SpXa_!!6000000003792-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282325,4/2/18 16:08,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000000303/TB2NFePcndYBeNkSmLyXXXfnVXa_!!6000000000303-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282328,4/2/18 16:08,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000002737/TB25aLkihSYBuNjSspjXXX73VXa_!!6000000002737-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282338,4/2/18 16:08,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000004703/TB2Av13ieSSBuNjy0FlXXbBpVXa_!!6000000004703-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282366,4/2/18 16:08,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000000073/TB2S85CcbZnBKNjSZFrXXaRLFXa_!!6000000000073-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282379,4/2/18 16:08,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000002011/TB2bzyUiaSWBuNjSsrbXXa0mVXa_!!6000000002011-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282396,4/2/18 16:08,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000001188/TB2nGUeinlYBeNjSszcXXbwhFXa_!!6000000001188-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282409,4/2/18 16:08,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i1/6000000008075/TB258O9ikyWBuNjy0FpXXassXXa_!!6000000008075-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282421,4/2/18 16:08,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i3/6000000004947/TB2lUfdib5YBuNjSspoXXbeNFXa_!!6000000004947-0-cloudwork.jpg""]",质检待确认,质检结果通过
4776282425,4/2/18 16:08,{},1,请上传您分享测试结果到朋友圈的照片,"[""https://img.alicdn.com/imgextra/i2/6000000007332/TB2X_Pzih9YBuNjy0FfXXXIsVXa_!!6000000007332-0-cloudwork.jpg""]",质检待确认,质检结果通过
